Layout,Algorithm,Nodes_Expanded,Path_Cost
contestClassic,bfs,81,16
contestClassic,dfs,23,22
contestClassic,astar,81,16
contestClassic,bds,42,16
mediumMaze,bfs,269,68
mediumMaze,dfs,146,130
mediumMaze,astar,269,68
mediumMaze,bds,184,68
openClassic,bfs,63,9
openClassic,dfs,141,141
openClassic,astar,63,9
openClassic,bds,27,999999
smallMaze,bfs,92,19
smallMaze,dfs,59,49
smallMaze,astar,92,19
smallMaze,bds,49,19
bigMaze,bfs,620,210
bigMaze,dfs,390,210
bigMaze,astar,620,210
bigMaze,bds,605,210
contoursMaze,bfs,170,13
contoursMaze,dfs,85,85
contoursMaze,astar,170,13
contoursMaze,bds,84,13
openMaze,bfs,682,54
openMaze,dfs,576,298
openMaze,astar,682,54
openMaze,bds,443,999999
tinyMaze,bfs,15,8
tinyMaze,dfs,15,10
tinyMaze,astar,15,8
tinyMaze,bds,11,8
mediumScaryMaze,bfs,279,72
mediumScaryMaze,dfs,96,96
mediumScaryMaze,astar,279,72
mediumScaryMaze,bds,252,72
mediumClassic,bfs,69,12
mediumClassic,dfs,16,16
mediumClassic,astar,69,12
mediumClassic,bds,21,12
originalClassic,bfs,58,13
originalClassic,dfs,13,13
originalClassic,astar,58,13
originalClassic,bds,34,13
testClassic,bfs,0,0
testClassic,dfs,0,0
testClassic,astar,0,0
testClassic,bds,2,999999
minimaxClassic,bfs,8,3
minimaxClassic,dfs,3,3
minimaxClassic,astar,8,3
minimaxClassic,bds,3,3
powerClassic,bfs,39,8
powerClassic,dfs,8,8
powerClassic,astar,39,8
powerClassic,bds,14,8
testMaze,bfs,7,7
testMaze,dfs,7,7
testMaze,astar,7,7
testMaze,bds,7,7
trappedClassic,bfs,7,5
trappedClassic,dfs,5,5
trappedClassic,astar,7,5
trappedClassic,bds,8,5
capsuleClassic,bfs,24,7
capsuleClassic,dfs,7,7
capsuleClassic,astar,24,7
capsuleClassic,bds,14,7
smallClassic,bfs,38,8
smallClassic,dfs,8,8
smallClassic,astar,38,8
smallClassic,bds,13,8
trickyClassic,bfs,60,12
trickyClassic,dfs,32,32
trickyClassic,astar,60,12
trickyClassic,bds,21,12
